<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,20160701,000000,133.8500000
SBER,D,20160704,000000,134.6000000
SBER,D,20160705,000000,131.8500000
SBER,D,20160706,000000,129.3600000
SBER,D,20160707,000000,131.8000000
SBER,D,20160708,000000,134.4100000
SBER,D,20160711,000000,137.2000000
SBER,D,20160712,000000,140.4000000
SBER,D,20160713,000000,139.4000000
SBER,D,20160714,000000,140.0000000
SBER,D,20160715,000000,138.1200000
SBER,D,20160718,000000,139.9300000
SBER,D,20160719,000000,139.4700000
SBER,D,20160720,000000,138.5700000
SBER,D,20160721,000000,138.5000000
SBER,D,20160722,000000,137.8000000
SBER,D,20160725,000000,136.0000000
SBER,D,20160726,000000,135.7500000
SBER,D,20160727,000000,136.9000000
SBER,D,20160728,000000,136.8500000
SBER,D,20160729,000000,139.1500000
SBER,D,20160801,000000,138.5200000
SBER,D,20160802,000000,135.0600000
SBER,D,20160803,000000,135.7300000
SBER,D,20160804,000000,137.1400000
SBER,D,20160805,000000,138.6900000
SBER,D,20160808,000000,139.4500000
SBER,D,20160809,000000,139.2000000
SBER,D,20160810,000000,138.3000000
SBER,D,20160811,000000,139.7000000
SBER,D,20160812,000000,139.4500000
SBER,D,20160815,000000,139.5000000
SBER,D,20160816,000000,138.1000000
SBER,D,20160817,000000,138.4400000
SBER,D,20160818,000000,137.0000000
SBER,D,20160819,000000,135.8000000
SBER,D,20160822,000000,137.3700000
SBER,D,20160823,000000,140.3500000
SBER,D,20160824,000000,139.5000000
SBER,D,20160825,000000,142.8400000
SBER,D,20160826,000000,145.2500000
SBER,D,20160829,000000,143.5500000
SBER,D,20160830,000000,143.1800000
SBER,D,20160831,000000,143.5000000
SBER,D,20160901,000000,144.2500000
SBER,D,20160902,000000,146.8800000
SBER,D,20160905,000000,149.5000000
SBER,D,20160906,000000,150.6400000
SBER,D,20160907,000000,154.3300000
SBER,D,20160908,000000,153.4500000
SBER,D,20160909,000000,151.6000000
SBER,D,20160912,000000,151.4300000
SBER,D,20160913,000000,149.8000000
SBER,D,20160914,000000,150.8600000
SBER,D,20160915,000000,149.1400000
SBER,D,20160916,000000,147.0000000
SBER,D,20160919,000000,148.6600000
SBER,D,20160920,000000,149.3000000
SBER,D,20160921,000000,150.6700000
SBER,D,20160922,000000,154.1800000
SBER,D,20160923,000000,151.5000000
SBER,D,20160926,000000,149.1000000
SBER,D,20160927,000000,147.5300000
SBER,D,20160928,000000,147.1800000
SBER,D,20160929,000000,148.4700000
SBER,D,20160930,000000,145.3400000
SBER,D,20161003,000000,148.8700000
SBER,D,20161004,000000,148.1000000
SBER,D,20161005,000000,147.9500000
SBER,D,20161006,000000,148.9000000
SBER,D,20161007,000000,148.7400000
SBER,D,20161010,000000,151.2700000
SBER,D,20161011,000000,151.3000000
SBER,D,20161012,000000,149.2000000
SBER,D,20161013,000000,146.0900000
SBER,D,20161014,000000,146.7300000
SBER,D,20161017,000000,146.4600000
SBER,D,20161018,000000,147.7400000
SBER,D,20161019,000000,148.6000000
SBER,D,20161020,000000,148.2600000
SBER,D,20161021,000000,148.4200000
SBER,D,20161024,000000,149.1500000
SBER,D,20161025,000000,151.5700000
SBER,D,20161026,000000,150.6700000
SBER,D,20161027,000000,149.3000000
SBER,D,20161028,000000,149.2000000
SBER,D,20161031,000000,147.4000000
SBER,D,20161101,000000,145.8500000
SBER,D,20161102,000000,142.3600000
SBER,D,20161103,000000,142.7500000
SBER,D,20161107,000000,143.4000000
SBER,D,20161108,000000,146.1100000
SBER,D,20161109,000000,151.0400000
SBER,D,20161110,000000,153.3600000
SBER,D,20161111,000000,151.5100000
SBER,D,20161114,000000,150.4000000
SBER,D,20161115,000000,149.8500000
SBER,D,20161116,000000,149.9400000
SBER,D,20161117,000000,149.7500000
SBER,D,20161118,000000,150.0500000
SBER,D,20161121,000000,153.0000000
SBER,D,20161122,000000,155.0000000
SBER,D,20161123,000000,155.2300000
SBER,D,20161124,000000,161.1500000
SBER,D,20161125,000000,160.3600000
SBER,D,20161128,000000,159.4000000
SBER,D,20161129,000000,158.0700000
SBER,D,20161130,000000,158.7000000
SBER,D,20161201,000000,158.7000000
SBER,D,20161202,000000,159.4000000
SBER,D,20161205,000000,162.0200000
SBER,D,20161206,000000,159.3500000
SBER,D,20161207,000000,159.9500000
SBER,D,20161208,000000,168.9800000
SBER,D,20161209,000000,169.6600000
SBER,D,20161212,000000,175.4000000
SBER,D,20161213,000000,176.9000000
SBER,D,20161214,000000,173.7000000
SBER,D,20161215,000000,174.9200000
SBER,D,20161216,000000,173.9000000
SBER,D,20161219,000000,174.3000000
SBER,D,20161220,000000,175.9000000
SBER,D,20161221,000000,174.7100000
SBER,D,20161222,000000,170.0000000
SBER,D,20161223,000000,171.1500000
SBER,D,20161226,000000,171.9700000
SBER,D,20161227,000000,172.2700000
